definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,transitivity,jlpt_level,lesson_codes,tags,id,row_num,date_added
Good morning,おはよう,おはよう,,,EXPRESSION,,,2,{GENKI3_L00},{greeting},f552ea3a-8b7f-5433-aa20-4c93a6868fb3,1,2022-04-24
Good morning (polite),おはようございます,おはようございます,,,EXPRESSION,,,,{GENKI3_L00},{greeting},8359d7d1-d6d6-5995-962e-3f6566232911,2,2022-04-24
Good afternoon,こんにちは,こんにちは,,,EXPRESSION,,,3,"{DUO_01_02,DUO_U01,GENKI3_L00}",{greeting},4c55fd59-1160-52d2-8383-00f292668c1f,3,2022-04-24
Good evening,こんばんは,こんばんは,,,EXPRESSION,,,2,{GENKI3_L00},{greeting},8d46e404-38ff-518c-a25d-cb95d6f2c511,4,2022-04-24
Goodbye,さようなら,さようなら,,,EXPRESSION,,,2,"{DUO_01_02,DUO_U01,GENKI3_L00}",{greeting},1184380a-27db-5f8e-841d-7b105c2a7366,5,2022-04-24
Goodnight,おやすみ,おやすみ,,,EXPRESSION,,,2,{GENKI3_L00},{greeting},3ecfb07b-0a66-555c-97c4-5af7cb806507,6,2022-04-24
Goodnight (polite),おやすみなさい,おやすみなさい,,,EXPRESSION,,,,{GENKI3_L00},{greeting},a419bb62-f061-5ac6-856b-6f85002642c6,7,2022-04-24
Thank you,ありがとう,ありがとう,,有り難う,EXPRESSION,,,3,{GENKI3_L00},{greeting},c7a645f7-256a-536a-a5ee-5f85e8ce1137,8,2022-04-24
Thank you (polite),ありがとうございます,ありがとうございます,,有難うございます,EXPRESSION,,,,{GENKI3_L00},{greeting},b626308d-6418-5a2c-9151-7a8a368f27a3,9,2022-04-24
I'll go and come back,いってきます,いってきます,,行ってきます,EXPRESSION,,,,{GENKI3_L00},{greeting},1913dbc6-4712-549a-9274-dc3511cecbfe,10,2022-04-24
Please go and come back,いってらっしゃい,いってらっしゃい,,,EXPRESSION,,,2,{GENKI3_L00},{greeting},e7161fcf-fbaf-5971-8adb-70745ae24103,11,2022-04-24
I'm home,ただいま,ただいま,,,EXPRESSION,,,,{GENKI3_L00},{greeting},c2a4dbcf-dba1-5e27-964f-5e2f7b358725,12,2022-04-24
Welcome home,お帰り,おかえり,,お帰り,EXPRESSION,,,2,{GENKI3_L00},{greeting},b06abb09-c9bd-5beb-a7b7-d184bedf72ca,13,2022-04-24
Welcome home (polite),お帰りなさい,おかえりなさい,,お帰りなさい,EXPRESSION,,,,{GENKI3_L00},{greeting},47b08527-885b-50bb-b538-180dc308199a,14,2022-04-24
Thank you for the meal (before),いただきます,いただきます,,,EXPRESSION,,,3,{GENKI3_L00},{greeting},797b03e3-1495-52c0-baf4-ffb9cb324089,15,2022-04-24
Thank you for the meal (after),ごちそうさま,ごちそうさま,,,EXPRESSION,,,2,{GENKI3_L00},{greeting},59bad243-8b31-54f3-9d7b-6de0961bc059,16,2022-04-24
"Thank you for the meal (after, polite)",ごちそうさまでした,ごちそうさまでした,,,EXPRESSION,,,,{GENKI3_L00},{greeting},05436324-1858-5a2f-a2a1-a41d00f862cc,17,2022-04-24
How do you do?; I am glad to meet you,はじめまして,はじめまして,,初めまして,EXPRESSION,,,2,{GENKI3_L00},{greeting},136d6d6d-0487-5709-ac27-2c376bfebd43,18,2022-04-24
Nice to meet you; i'm counting on you,よろしくお願いします,よろしくおねがいします,,宜しくお願いします,EXPRESSION,,,,{GENKI3_L00},{greeting},ddd5fd1f-f041-576c-a479-d8d9a3221370,19,2022-04-24
be; is (coupala),だ,だ,,,VERB,COPULA_VERB,,,,,0d8e1494-cfe2-43ab-b06e-31ad060eec1a,20,2022-10-09
college; university,大学,だいがく,,大学,NOUN,,,5,"{DUO_02_05,DUO_U08,GENKI3_L01}","{place,school}",d43cc787-37af-5dd1-92b5-fc756f18298a,21,2022-04-24
high school,高校,こうこう,,高校,NOUN,,,4,"{DUO_02_05,DUO_U08,GENKI3_L01}","{place,school}",3c890a54-15f9-56e1-9bd5-3c91274b6246,22,2022-04-24
student,学生,がくせい,,学生,NOUN,,,5,{GENKI3_L01},{school},6de86986-05ed-58da-a055-9d49c89f7a06,23,2022-04-24
college student; university student,大学生,だいがくせい,,大学生,NOUN,,,4,"{DUO_02_05,DUO_U08,GENKI3_L01}",{school},d1cb9e5b-6cc5-5339-b33d-4e948229156e,24,2022-04-24
international student; foreign exchange student,留学生,りゅうがくせい,,留学生,NOUN,,,5,"{DUO_02_05,DUO_U08,GENKI3_L01}",{school},efe5fea4-0476-5328-bd18-2a469a8b6c3e,25,2022-04-24
teacher; professor,先生,せんせい,,先生,NOUN,,,5,{GENKI3_L01},{school},c21b42a5-1ef1-51cf-9402-199d2b562a47,26,2022-04-24
...year student,〜年生,〜ねんせい,,〜年生,NOUN,,,1,"{DUO_02_05,DUO_U08,GENKI3_L01}",{school},057a7cd1-f1a6-50e2-8449-3b6f04c67305,27,2022-04-24
major,専攻,せんこう,,専攻,NOUN,,,3,{GENKI3_L01},{school},e71aac30-c949-5b47-b118-d02a5d703701,28,2022-04-24
I,私,わたし,,私,PRONOUN,,,5,"{DUO_01_02,DUO_U01,GENKI3_L01}",{person},4b1d8b7f-6477-5881-9439-1a7f30b26c9d,29,2022-04-24
you,あなた,あなた,,貴方,PRONOUN,,,5,,{person},c88ef88c-2242-4ea2-903e-ceeb22e7614d,30,2022-10-10
friend,友達,ともだち,,友達,NOUN,,,5,{GENKI3_L01},{person},f65b93fb-1086-5405-8163-394db3e83014,31,2022-04-24
Mr./Ms.,〜さん,〜さん,,,SUFFIX,,,1,{GENKI3_L01},{person},c26e8356-f73a-5ddf-b045-432580c37468,32,2022-04-24
