definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,jlpt_level,lesson_codes,tags,id,row_num,date_added,,dictionary_form,past_form,te_form,negative_form,negative_past_form,negative_te_form,polite_form,polite_past_form,polite_te_form,polite_negative_form,polite_negative_past_form,polite_negative_te_form
sake; alcohol,お酒,おさけ,,お酒,NOUN,,5,"{DUO_01_02,DUO_U01,GENKI3_L03}",{food},dbf81e7a-c846-5129-b017-a31ad90eb752,188,2022-07-24,,,,,,,,,,,,,
green tea,お茶,おちゃ,,お茶,NOUN,,5,"{DUO_01_04,DUO_U02,GENKI3_L03}",{food},4b6153f0-1c2e-5330-94dc-e71afa17d386,189,2022-07-24,,,,,,,,,,,,,
coffee,コーヒー,こおひい,,,NOUN,,5,{GENKI3_L03},{food},c675acf7-4ab1-5a0a-beb3-e65aff83932a,190,2022-07-24,,,,,,,,,,,,,
water; cold water,水,みず,,水,NOUN,,5,{GENKI3_L03},"{food,water}",ff69f94e-49fa-5015-a8e8-6bdab429f087,191,2022-07-24,,,,,,,,,,,,,
breakfast,朝ご飯,あさごはん,,朝ご飯,NOUN,,5,{GENKI3_L03},{food},455c3d21-e4c5-5cae-a4b1-2f4a0b988e50,192,2022-07-24,,,,,,,,,,,,,
lunch,昼ご飯,ひるごはん,,昼ご飯,NOUN,,5,{GENKI3_L03},{food},43903683-a322-530c-88e1-a1c406296be6,193,2022-07-24,,,,,,,,,,,,,
dinner,晩御飯,ばんごはん,,晩御飯,NOUN,,5,{GENKI3_L03},{food},4e1fc6f4-772d-5a1f-8391-5453bcbf4817,194,2022-07-24,,,,,,,,,,,,,
home; house,家,いえ,,家,NOUN,,5,"{DUO_02_04,DUO_U07,GENKI3_L03}",{place},e6aa13b6-6f6a-57db-8433-701ba55fa918,195,2022-07-24,,,,,,,,,,,,,
my place,うち,うち,,,NOUN,,,{GENKI3_L03},{place},522046f3-2cfa-565e-a8d5-15f048b49776,196,2022-07-24,,,,,,,,,,,,,
cafe,カフェ,かふぇ,,,NOUN,,,{GENKI3_L03},{place},c5ebd7d9-06b2-596e-96f5-7366810ea78c,197,2022-07-24,,,,,,,,,,,,,
"datyime; noon, middday",昼,ひる,,昼,NOUN,,5,"{DUO_01_03,DUO_U02}",{time},31496757-bfb5-571a-af27-27f055912c92,198,2022-08-12,,,,,,,,,,,,,
evening,晩,ばん,,晩,NOUN,,5,,{time},fa96658e-3cc1-5c40-8c89-f68088f73e5d,199,2022-08-28,,,,,,,,,,,,,
night,夜,よる,,夜,NOUN,,5,"{DUO_01_02,DUO_U01,GENKI3_L06}",{time},c0e2e0ee-6d57-53c2-a654-7d23db9d1709,200,2022-08-12,,,,,,,,,,,,,
tomorrow,明日,あした,,明日,NOUN,,5,{GENKI3_L03},{time},3972d239-6e9a-5163-bf43-c4a2b81783db,201,2022-07-24,,,,,,,,,,,,,
today,今日,きょう,,今日,NOUN,,5,{GENKI3_L03},{time},a4dbf3ac-a372-58a7-b9ac-a7f018ba587c,202,2022-07-24,,,,,,,,,,,,,
morning,朝,あさ,,朝,NOUN,,5,{GENKI3_L03},{time},b415c8ff-d8fb-5e40-9a89-ed5fa1997831,203,2022-07-24,,,,,,,,,,,,,
this evening; tonight,今晩,こんばん,,今晩,NOUN,,5,{GENKI3_L03},{time},e872c853-3159-56b7-834e-066e364a5782,204,2022-07-24,,,,,,,,,,,,,
every day,毎日,まいにち,,毎日,NOUN,,5,{GENKI3_L03},{time},7ec8469c-ee0f-5a33-9f9f-e025e6cffdd0,205,2022-07-24,,,,,,,,,,,,,
every morning,毎朝,まいあさ,,毎朝,NOUN,,5,"{DUO_02_03,DUO_U07}",{time},1efcd811-18f8-5b64-be29-9f46fbef3286,206,2022-07-24,,,,,,,,,,,,,
every night,毎晩,まいばん,,毎晩,NOUN,,5,{GENKI3_L03},{time},9e1ccd85-e76b-559b-9c13-ac2202a04849,207,2022-07-24,,,,,,,,,,,,,
weekend,週末,しゅうまつ,,週末,NOUN,,,{GENKI3_L03},{time},788e64aa-46ee-574d-aad9-83c8b56bc40a,208,2022-07-24,,,,,,,,,,,,,
Saturday,土曜日,どようび,,土曜日,NOUN,,5,{GENKI3_L03},{time},f7d20fe3-57b3-5e6d-85f6-5b54b0ba7088,209,2022-07-24,,,,,,,,,,,,,
Sunday,日曜日,にちようび,,日曜日,NOUN,,5,{GENKI3_L03},{time},61637bb4-cc4a-52be-86fa-7fb678ab6e62,210,2022-07-24,,,,,,,,,,,,,
when,いつ,いつ,,,NOUN,,5,{GENKI3_L03},{time},f05e2adf-83c4-5ccf-a74a-fbd5664dceb1,211,2022-07-24,,,,,,,,,,,,,
to go,行く,いく,,行く,VERB,IKU_VERB,5,"{DUO_02_03,DUO_U07,GENKI3_L03}",,50cbf96a-57d3-5f45-b5fc-e415ff57717a,212,2022-07-24,,行く,行った,行って,行かない,行かなかった,行かなくて,行きます,行きました,,行きません,行きませんでした,
to go back; to return,帰る,かえる,,帰る,VERB,GODAN_VERB,5,{GENKI3_L03},,243bdf44-b101-5d5d-bc51-a4f5c1c03bc3,213,2022-07-24,,帰る,帰った,帰って,帰らない,帰らなかった,帰らなくて,帰ります,帰りました,,帰りません,帰りませんでした,
to listen; to hear; to ask,聞く,きく,,聞く,VERB,GODAN_VERB,5,{GENKI3_L03},,27c14160-d0d6-51f8-b7b1-9172cf8b84d2,214,2022-07-24,,聞く,聞いた,聞いて,聞かない,聞かなかった,聞かなくて,聞きます,聞きました,,聞きません,聞きませんでした,
to drink; to swallow,飲む,のむ,,飲む,VERB,GODAN_VERB,5,"{DUO_02_03,DUO_U07,GENKI3_L03}",,b8a9c502-6f50-5d50-96f1-417feef69161,215,2022-07-24,,飲む,飲んだ,飲んで,飲まない,飲まなかった,飲まなくて,飲みます,飲みました,,飲みません,飲みませんでした,
to speak; to talk,話す,はなす,,話す,VERB,GODAN_VERB,5,{GENKI3_L03},,87e72b5b-0332-5b61-b21c-ea8cc6a05c1f,216,2022-07-24,,話す,話した,話して,話さない,話さなかった,話さなくて,話します,話しました,,話しません,話しませんでした,
to read,読む,よむ,,読む,VERB,GODAN_VERB,5,"{DUO_01_02,DUO_U01,GENKI3_L03}",,615aadf7-6900-5c48-814a-d6cc0884ae86,217,2022-07-24,,読む,読んだ,読んで,読まない,読まなかった,読まなくて,読みます,読みました,,読みません,読みませんでした,
to wear,着る,きる,,着る,VERB,ICHIDAN_VERB,5,"{DUO_01_02,DUO_U01,GENKI3_L07}",,184de362-74cc-5125-a9b9-8658bb577f7d,218,2022-08-12,,着る,着た,着て,着ない,着なかった,着なくて,着ます,着ました,,着ません,着ませんでした,
to get up,起きる,おきる,,起きる,VERB,ICHIDAN_VERB,5,"{DUO_02_03,DUO_U07,GENKI3_L03}",,bd0e8ffa-f7cd-5b27-8481-6ecb87512f6c,219,2022-07-24,,起きる,起きた,起きて,起きない,起きなかった,起きなくて,起きます,起きました,,起きません,起きませんでした,
to eat,食べる,たべる,,食べる,VERB,ICHIDAN_VERB,5,"{DUO_02_03,DUO_U07,GENKI3_L03}",,28166f6b-3aba-5230-9bd4-18e1a467bc3f,220,2022-07-24,,食べる,食べた,食べて,食べない,食べなかった,食べなくて,食べます,食べました,,食べません,食べませんでした,
to sleep; to go to sleep,寝る,ねる,,寝る,VERB,ICHIDAN_VERB,5,"{DUO_02_03,DUO_U07,GENKI3_L03}",,45b4593b-f7a0-516e-84c4-68c7a7099243,221,2022-07-24,,寝る,寝た,寝て,寝ない,寝なかった,寝なくて,寝ます,寝ました,,寝ません,寝ませんでした,
to see; to look at; to watch,見る,みる,,見る,VERB,ICHIDAN_VERB,5,{GENKI3_L03},,66e4cf05-72cd-512b-a462-05f4e69906b5,222,2022-07-24,,見る,見た,見て,見ない,見なかった,見なくて,見ます,見ました,,見ません,見ませんでした,
to come,くる,くる,,来る,VERB,KURU_VERB,5,{GENKI3_L03},,10567940-e3bb-5257-b33c-ae9976bfaddd,223,2022-07-24,,くる,きた,きて,こない,こなかった,こなくて,きます,きました,,きません,きませんでした,
to do,する,する,,,VERB,SURU_VERB,5,{GENKI3_L03},,5800b221-4eb5-5331-8c6c-413e2d08c007,224,2022-07-24,,する,した,して,しない,しなかった,しなくて,します,しました,,しません,しませんでした,
to study,勉強する,べんきょうする,,勉強する,VERB,SURU_VERB,5,{GENKI3_L03},,9e9dc42e-df1e-5ace-948a-9dce72caaceb,225,2022-07-24,,,,,,,,,,,,,
yes; umm,ええ,ええ,,,EXPRESSION,,5,{GENKI3_L03},,6e231f76-5724-5b3c-acfc-cdee6e2eb3a6,226,2022-07-24,,,,,,,,,,,,,
good,いい,いい,,,ADJECTIVE,YOI_ADJECTIVE,5,{GENKI3_L03},,349836a3-2523-5f85-a7c1-f85e49c73f27,227,2022-07-24,,いい,よかった,,よくない,よくなかった,,,,,,,
fast; early,早い,はやい,,早い,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L03},,fc5427a3-a54b-5c04-8b36-a570b8e7a72b,228,2022-07-24,,早い,早かった,,早くない,早くなかった,,,,,,,
not much,あまり,あまり,,,ADVERB,,5,{GENKI3_L03},,311f8bec-e54c-5317-8880-dfd3e39d23a7,229,2022-07-24,,,,,,,,,,,,,
not at all,全然,ぜんぜん,,全然,ADVERB,,3,{GENKI3_L03},,1e68ea18-9d69-5761-a463-510eab20d1d3,230,2022-07-24,,,,,,,,,,,,,
usually,たいてい,たいてい,,大抵,ADVERB,,4,{GENKI3_L03},,818210e0-641a-56f3-9241-7d24504480e2,231,2022-07-24,,,,,,,,,,,,,
a little,ちょっと,ちょっと,,一寸,ADVERB,,5,{GENKI3_L03},,b8b492d0-5612-5ac1-bb4d-15f03e959c89,232,2022-07-24,,,,,,,,,,,,,
sometimes,時々,ときどき,,時々,ADVERB,,5,{GENKI3_L03},,02115b33-cd19-587a-a3f2-446dea254e33,233,2022-07-24,,,,,,,,,,,,,
often; much,よく,よく,,良く,ADVERB,,,{GENKI3_L03},,d7dc5e63-a1ca-58e6-9c31-047e23342953,234,2022-07-24,,,,,,,,,,,,,
that's so; isn't it?,そうですね,そうですね,,,EXPRESSION,,,{GENKI3_L03},,31df08c1-4538-5a5f-aa61-af9e88805bd5,235,2022-07-24,,,,,,,,,,,,,
but,でも,でも,,,CONJUNCTION,,5,{GENKI3_L03},,7d85fe8c-2226-573f-a219-0f2def303b50,236,2022-07-24,,,,,,,,,,,,,
"How about...?, How is...?",どうですか,どうですか,,,EXPRESSION,,,{GENKI3_L03},,4fe504e0-3bf5-5480-98e6-5e626dddc417,237,2022-07-24,,,,,,,,,,,,,
everyone; everybody,みんな,みんな,,皆,NOUN,,5,,,50ec881b-73e0-502b-8316-3d67e8dababb,238,2022-07-24,,,,,,,,,,,,,
i'm okay; no problem,大丈夫,だいじょうぶ,,大丈夫,EXPRESSION,,5,{GENKI3_L05},,f5f775ad-523f-5888-b269-fcb13c1c1051,239,2022-07-24,,,,,,,,,,,,,
I'm okay; no thank you; it's all right,大丈夫です,だいじょうぶです,,大丈夫です,EXPRESSION,,,,,6ae314ed-22ae-5a5f-8e43-c5165e6eb3a1,240,2022-07-24,,,,,,,,,,,,,
little quantity; few,少し,すこし,,少し,ADVERB,,5,,,8640d0ab-1efc-5b18-a49c-564f8e53d65c,241,2022-07-24,,,,,,,,,,,,,
"again, once more; also, too, as well",また,また,,又,ADVERB,,5,,,ecb81156-ea05-44c8-bea0-9e5c199c1c4b,242,2022-08-08,,,,,,,,,,,,,
bye; see you again later,またね,またね,,,INTERJECTION,,,,,820e130a-a772-413e-a754-d1a0021bbcf5,243,2022-08-08,,,,,,,,,,,,,
bye; see you,じゃね,じゃあね,じゃね,,INTERJECTION,,,,,82223749-3af6-4348-b0f0-a0addad0ddf2,244,2022-08-08,,,,,,,,,,,,,
